Date,Open,Close,K,D,J
2005-01-04,994.76,982.79,,,
2005-01-05,981.57,992.56,,,
2005-01-06,993.33,983.17,,,
2005-01-07,983.04,983.95,,,
2005-01-10,983.76,993.87,,,
2005-01-11,994.18,997.13,,,
2005-01-12,996.65,996.74,,,
2005-01-13,996.07,996.87,,,
2005-01-14,996.61,988.3,31.934032983508104,31.934032983508104,31.934032983508104
2005-01-17,979.11,967.45,23.20608239006846,29.024716119028223,11.568814932148932
2005-01-18,967.37,974.68,25.859863171604346,27.969765136553598,21.640059241705842
2005-01-19,974.33,967.21,22.23593794863874,26.058489407248643,14.590835031418933
2005-01-20,963.21,956.24,17.288769007986705,23.135249274161332,5.595808475637455
2005-01-21,954.46,982.6,32.240849442841004,26.17044933038789,44.381649667747226
2005-01-24,1001.85,998.13,50.421923320982245,34.25427399391934,82.75722197510805
2005-01-25,995.63,997.77,62.3522537090434,43.620267232294026,99.81622666254216
2005-01-26,995.78,989.92,66.15434503443866,51.13162649967557,96.19978210396484
2005-01-27,987.34,974.63,61.90501925039264,54.72275741658126,76.26954291801542
2005-01-28,974.63,969.2,55.97388137176699,55.13979873497651,57.64204664534796
2005-01-31,965.78,954.87,43.843365853459204,51.37432110780407,28.78145534476947
2005-02-01,953.33,955.95,36.37258282733186,46.373741680980004,16.370265120035583
2005-02-02,956.7,1006.91,57.571223197223865,50.10623551972796,72.50119855221567
2005-02-03,1005.56,993.21,60.33719567314928,53.516555570868405,73.97847587771105
2005-02-04,992.25,1016.85,71.52239524079901,59.51850212751194,95.53018146737315
2005-02-16,1023.32,1023.58,77.01493016053269,65.35064480518551,100.34350087122704
2005-02-17,1024.43,1020.6,79.44266565567604,70.04798508868235,98.23202678966342
2005-02-18,1020.12,1006.05,75.03631126527469,71.7107604808798,81.68741283406447
2005-02-21,1006.69,1025.63,80.2064021271604,74.54264102964,91.53392432220122
2005-02-22,1026.83,1046.74,86.13364019638274,78.40630741855423,101.58830575203973
2005-02-23,1046.81,1043.93,88.72131449044825,81.84464310918557,102.4746572529736
2005-02-24,1042.25,1045.46,90.16815636718678,84.6191475285193,101.26617404452173
2005-02-25,1046.27,1046.76,87.34910400515543,85.52913302073135,90.98904597400357
2005-02-28,1046.2,1039.98,79.49550294865516,83.51792299670595,71.45066285255359
2005-03-01,1039.35,1035.93,71.7528051226875,79.5962170386998,56.065981290662904
2005-03-02,1036.36,1021.32,57.547366832023826,72.24660030314115,28.148899889789163
2005-03-03,1019.87,1027.71,51.63762701348156,65.37694253992129,24.158995960602113
2005-03-04,1027.92,1023.66,41.064923709859585,57.27293626323406,8.648898603110638
2005-03-07,1024.48,1029.87,38.64422144037579,51.063364655614635,13.805935009898093
2005-03-08,1033.78,1048.98,51.2714214923319,51.132716934520396,51.54883060795491
2005-03-09,1051.26,1046.54,57.87123754902755,53.37889047268945,66.85593170170375
2005-03-10,1046.68,1022.41,44.981760939762786,50.57984729504723,33.785588229193905
2005-03-11,1021.08,1027.42,40.575289444090245,47.24499467806157,27.23587897614759
2005-03-14,1027.17,1031.02,40.64591453037113,45.04530129549809,31.847141000117205
2005-03-15,1030.85,1013.52,28.55464069466602,39.54841442855407,6.567093226889924
2005-03-16,1011.85,1003.06,23.069601408350344,34.055476755152824,1.097850714745391
2005-03-17,1001.96,992.86,15.77427468596784,27.961742732091164,-8.600661406278803
2005-03-18,991.88,978.66,11.7660775585702,22.563187674250845,-9.828142672791088
2005-03-21,977.29,981.89,11.47380836094782,18.866727903149837,-3.3120307234562176
2005-03-22,981.7,964.02,9.355664098605567,15.69637330163508,-3.325754307453458
2005-03-23,962.81,959.01,7.413534158526568,12.93542692059891,-3.630251365618115
2005-03-24,957.43,964.8,10.772016788618194,12.214290209938671,7.887469945977237
2005-03-25,964.24,962.95,13.014677859078818,12.481086092985386,14.081861391265683
2005-03-28,961.65,960.69,15.043610770855178,13.335260985608649,18.460310341348233
2005-03-29,960.41,955.19,13.972935989713289,13.547819320310197,14.82316932851947
2005-03-30,952.71,937.03,9.681835144980452,12.259157928533615,4.527189577874125
2005-03-31,934.84,942.2,14.885142710317641,13.134486189128289,18.38645575269635
2005-04-01,941.43,978.14,36.890024759615144,21.05299904595724,68.56407618693095
2005-04-04,968.49,962.16,42.908546634719315,28.338181575544596,72.04927675306877
2005-04-05,960.54,955.59,43.36396747658134,33.34677687589017,63.39834867796367
2005-04-06,955.59,973.66,53.45048430007159,40.048012683950645,80.25542753231346
2005-04-07,975.97,984.73,61.77017781828769,47.288734395396325,90.73306466407043
2005-04-08,984.66,1003.45,74.40288622497317,56.326785005255275,110.55508866440897
2005-04-11,1003.88,995.42,77.41701536059568,63.35686179036874,105.53732250104957
2005-04-12,993.71,978.7,72.49442815084488,66.40271724386079,84.67784996481305
2005-04-13,987.95,1000.9,77.99619177462898,70.26720875411685,93.45415781565325
2005-04-14,1004.64,986.97,73.19944590739887,71.24462113854419,77.10909544510824
2005-04-15,982.61,974.08,62.81535229752331,68.4348648582039,51.57632717616215
2005-04-18,970.91,963.77,50.144727812554116,62.338152509653966,25.75787841835441
2005-04-19,962.92,965.89,38.66397832131708,54.44676111354167,7.098412736867914
2005-04-20,964.15,950.87,28.265457267785653,45.719659831623,-6.642947859889034
2005-04-21,948.86,943.98,21.405181758031418,37.614833807092474,-11.014122340090694
2005-04-22,942.91,939.1,16.199111946412888,30.47625985353261,-12.355183867826554
2005-04-25,935.99,930.07,14.625367349650935,25.192629018905386,-6.5091559888579695
2005-04-26,928.43,937.08,16.28861726239194,22.224625100067573,4.416601587040681
2005-04-27,938.57,926.6,14.296494774874612,19.58191499166992,3.725654341283999
2005-04-28,923.53,942.07,25.72215200873716,21.628660664025666,33.909134698160145
2005-04-29,940.81,932.4,27.985752461783292,23.747691263278206,36.461874858793465
2005-05-09,934.65,909.17,18.65716830785553,22.050850278137315,11.86980436729197
2005-05-10,905.54,913.08,23.385824623537722,22.495841726604116,25.165790417404928
2005-05-11,911.84,901.85,21.309974209456847,22.100552554221693,19.728817519927155
