MA,netAsset
120,5050111.213350016
121,5068840.719340015
122,5109761.149100015
123,5184523.501125026
124,5248497.224085023
125,5362338.26421002
126,5168209.313875014
127,5040413.804795021
128,4996177.206520014
129,5142219.778600018
130,5085114.196715016
131,5085114.196715016
132,5085114.196715016
133,5043551.801895019
134,5157464.218430021
135,5065916.327985021
136,5068708.753875021
137,4562696.41095502
138,4892312.046200018
139,5067180.534105017
140,4621341.457545023
141,4867437.780505028
142,4924156.354420021
143,4762393.767040022
144,4805460.39454002
145,4834193.361180019
146,5036367.5907550175
147,5272393.97156502
148,5353647.515150012
149,5127766.913885014
150,5238275.845675014
151,5278045.046665012
152,5342697.284520013
153,4810081.658735017
154,4775471.169495015
155,4766460.408170017
156,4655613.847320015
157,4609302.063255013
158,4558898.456550012
159,4607866.441395013
160,4677044.820685013
161,4713503.002440015
162,4564609.549535018
163,4548778.54741002
164,4524141.671790021
165,4544973.9110800205
166,4570182.323830016
167,4468852.905100018
168,4436141.920060013
169,4510291.010615014
170,4264080.837285011
171,4074483.2380150077
172,4144849.702925016
173,4132389.7682650164
174,4184022.376585013
175,3895617.8220400163
176,3895617.8220400163
177,3990357.6396050164
178,3869291.967545017
179,3869291.967545017
180,3876205.309205015
181,4268458.734915019
182,4568283.327210018
183,4620344.195075012
184,4593950.296100016
185,4265101.989250014
186,4498635.612970014
187,4461115.404800013
188,4350024.061155021
189,4370763.261115023
190,4436682.8211500235
191,4411433.472735019
192,4434258.465475016
193,4580421.916720012
194,4512078.964690015
195,4785273.955055018
196,4813570.68022002
197,4783679.906050016
198,4835048.612510013
199,4918747.702810011
200,4691826.911310017
201,4605878.659445018
202,4751359.222305015
203,4652370.193065016
204,4652370.193065016
205,4652370.193065016
206,4487821.951045015
207,4593555.992950017
208,4491992.116835013
209,4378521.336480014
210,4080815.85226001
211,4101286.4056100133
212,4113909.346945016
213,4352769.980760014
214,4352769.980760014
215,4440063.739650011
216,4291891.809555013
217,4430030.760200015
218,4473689.793875014
219,4714799.202040012
220,4619403.917365009
221,4486888.39903001
222,4543698.498265012
223,4671173.959860013
224,4671173.959860013
225,4770804.851040011
226,4847720.012820008
227,4722196.890080008
228,4741716.144555008
229,4482789.50139001
230,4482789.50139001
231,4360572.631915012
232,4271331.760040007
233,4271331.760040007
234,4080828.4078600113
235,4080828.4078600113
236,4194959.478240009
237,4102794.1007800107
238,4001742.85378001
239,3974228.105385014
240,4014048.802620008
