pastDays,ma,ratio
4,27,0.01011872609460318
4,28,0.010131645575544444
4,29,0.010133609566919216
4,30,0.010149318420408485
4,31,0.01015359952793633
4,32,0.010155312327006526
4,33,0.01015213731593024
4,34,0.010141078297669949
4,35,0.010133975286058078
4,36,0.010133562626137984
4,37,0.010160741624360828
4,38,0.010158764683231862
4,39,0.010156018032623816
4,40,0.010171070102606788
4,41,0.010159594407049296
4,42,0.010149871320661277
4,43,0.010158048844503453
4,44,0.010180744402531132
4,45,0.010170545083802591
4,46,0.010147405854727839
4,47,0.010141051521729703
4,48,0.010142310787060719
4,49,0.010154369150463081
4,50,0.01016558219718441
4,51,0.010170668341888416
4,52,0.010176517821042647
4,53,0.010174372292723728
4,54,0.010191334851861382
4,55,0.010185578841901454
4,56,0.010185711956652082
4,57,0.010194780648310014
4,58,0.010175911413630683
4,59,0.010177738572309507
4,60,0.010181765281131612
5,1,0.010138911909182998
5,2,0.010153482680976116
5,3,0.010136802890887517
5,4,0.010132772754483852
5,5,0.01016013536162858
5,6,0.010172204106106897
5,7,0.010161503649940146
5,8,0.010186611068735606
5,9,0.010180979993518786
5,10,0.010147235649448185
5,11,0.01016237948873778
5,12,0.010172156555213184
5,13,0.010171772708871438
5,14,0.010159409139173042
5,15,0.010158386534877033
5,16,0.010135029060301294
5,17,0.010155216236792405
5,18,0.010181392023444999
5,19,0.010184010982457928
5,20,0.0101810797267224
5,21,0.010172482765194984
5,22,0.010159051549023341
5,23,0.01013115611569493
5,24,0.010150470572270368
5,25,0.01012296578158213
5,26,0.010136361003154237
5,27,0.010125887498120446
5,28,0.010159602418176048
5,29,0.010155605397266315
5,30,0.01016852647711679
5,31,0.010183240088199525
5,32,0.010189832332873372
5,33,0.010167192594618703
5,34,0.010160016370962244
5,35,0.010150625323715894
5,36,0.010175088330006868
5,37,0.010176018657137156
5,38,0.010191731451642923
5,39,0.010183999623111705
5,40,0.010191061824479201
5,41,0.010174625707755647
5,42,0.010180127940486748
5,43,0.01020314724160389
5,44,0.010186093054626772
5,45,0.010179533331613505
5,46,0.010154230668862028
5,47,0.010158852460833775
5,48,0.010164502066686705
5,49,0.01018211915360679
5,50,0.010187142711775028
5,51,0.010191271568410766
5,52,0.010192432379255482
5,53,0.010209004962325404
5,54,0.010208754268418737
5,55,0.01021662108270161
5,56,0.010210609504040319
5,57,0.01021890269870175
5,58,0.010201189057226778
5,59,0.010199892983347367
5,60,0.010203575438578817
6,1,0.010171343807580184
6,2,0.010170710278335457
6,3,0.010169258048545186
6,4,0.010196873975575046
6,5,0.010207783370229614
6,6,0.010202210930625103
6,7,0.010230320736663126
6,8,0.010223947883304397
6,9,0.010208380816963644
6,10,0.010239477541748894
6,11,0.01024479840528771
6,12,0.010246025350644023
6,13,0.010226303130823677
6,14,0.01021827116480649
6,15,0.010205400922756002
6,16,0.010207780786241629
6,17,0.010232557814273947
6,18,0.010230983033589871
6,19,0.010247260103296406
6,20,0.010220459833518873
6,21,0.01019842724290429
6,22,0.010196684024506514
6,23,0.010177122064090698
6,24,0.010156723599495012
6,25,0.010162418548855287
6,26,0.010165126730457422
6,27,0.010169405266773448
6,28,0.010196427390638694
6,29,0.010193285385317009
6,30,0.010213443395958768
6,31,0.010229182150921449
6,32,0.010213390456526132
6,33,0.01020704831603605
6,34,0.010193414237473285
6,35,0.010205551923007225
6,36,0.010191262383673126
6,37,0.010210444814744465
6,38,0.010227869478237785
6,39,0.010220147369533375
6,40,0.01022239687516879
6,41,0.010227208596794522
6,42,0.010244610443987778
6,43,0.01022951657483834
6,44,0.010216159091178331
6,45,0.010201043658397588
6,46,0.010193539189760485
6,47,0.010205639230135082
6,48,0.010213772924031283
6,49,0.010233034122622142
6,50,0.010245608148230334
6,51,0.010245829994210942
6,52,0.010257888886328666
6,53,0.010249815997287163
6,54,0.01025527654486311
6,55,0.01025948526904742
6,56,0.010259186213330034
6,57,0.010271491881441571
6,58,0.010253037383313178
6,59,0.010247045091791866
6,60,0.01028469612514562
7,1,0.010160068225696444
7,2,0.010181889068819368
7,3,0.01021061601694776
7,4,0.01021927384353876
7,5,0.0102163885260834
7,6,0.01024604795852598
7,7,0.01024470066244141
7,8,0.01023234405606656
7,9,0.010230127272994513
7,10,0.010246671811319247
7,11,0.010247020326831753
7,12,0.01023255239528706
7,13,0.010223880886171271
7,14,0.010213654183226131
7,15,0.010207125229650255
7,16,0.010225182190327366
7,17,0.010226148064200821
7,18,0.010250498197254265
7,19,0.010246665829124337
7,20,0.010209594592872906
7,21,0.010202578304394817
7,22,0.010203035062681092
7,23,0.010154044654602293
7,24,0.010156829535315012
7,25,0.01015951943008084
7,26,0.010175680365064917
7,27,0.010173151896302045
7,28,0.010198835227883209
7,29,0.010207282055904815
7,30,0.01022722074052358
7,31,0.010217785249787874
7,32,0.010201989433247105
7,33,0.010192770745560839
7,34,0.01020400037432625
7,35,0.010187980657408427
7,36,0.010187727723102653
7,37,0.010211871843098158
7,38,0.01022361140101992
7,39,0.010215264111828751
7,40,0.010228463660823882
7,41,0.010242052666076367
7,42,0.010232448491203998
7,43,0.010228421662513571
7,44,0.010204067483146307
7,45,0.010197441711825083
7,46,0.010190888949561798
7,47,0.01020594382315008
7,48,0.010212354759693551
7,49,0.010232357916936462
7,50,0.010237917441859083
7,51,0.01025256280848992
7,52,0.010246356670680403
7,53,0.010253444872550687
7,54,0.010254630137722164
7,55,0.010256169506431628
7,56,0.01026084883925365
7,57,0.010267572131727475
7,58,0.010248263851276895
7,59,0.010279833562213136
7,60,0.010288149023566348
8,1,0.010210908995810451
8,2,0.01024872040810931
8,3,0.010264478512996552
8,4,0.010259422644563027
8,5,0.010277284916757733
8,6,0.010277496750920167
8,7,0.010263874859189944
8,8,0.010295072976241807
8,9,0.010305403330452781
8,10,0.01031302131885546
8,11,0.010318071814851436
8,12,0.01030184929843777
8,13,0.010286335920084362
8,14,0.010280020089055777
8,15,0.010274017248986208
8,16,0.010266788053944048
8,17,0.01029510005023259
8,18,0.01028952301538658
8,19,0.01026841407849663
8,20,0.010252806372317852
8,21,0.010256558152466287
8,22,0.01023836296553882
8,23,0.01019898919633601
8,24,0.010203095981034237
8,25,0.010217501831401766
8,26,0.01022337833027761
8,27,0.010217901587255348
8,28,0.010253437034523966
8,29,0.010265521363017211
8,30,0.010261799027184005
8,31,0.01027101381011038
8,32,0.0102482292181254
8,33,0.010271718923662593
8,34,0.010255477500734442
8,35,0.01025202966237452
8,36,0.010255500281080712
8,37,0.0102703597645516
8,38,0.010277706859654966
8,39,0.010275606551723796
8,40,0.010299219525352609
8,41,0.01028087084294688
8,42,0.010279612219103824
8,43,0.010264294984171982
8,44,0.010251493934776935
8,45,0.010252942266038241
8,46,0.010248569207604875
8,47,0.010259200236299117
8,48,0.010266949945987631
8,49,0.010280893026167021
8,50,0.010296296440918753
8,51,0.010289497641424627
8,52,0.010298364439204311
8,53,0.0103023306886952
8,54,0.010300163781511421
8,55,0.010309155069161401
8,56,0.010306696152068544
8,57,0.010310398469130481
8,58,0.010334347152616212
8,59,0.010329490041637237
8,60,0.010337109163651412
9,1,0.010303217110293564
9,2,0.010312217582815397
9,3,0.010309447657817994
9,4,0.010330702087783914
9,5,0.010332963853193291
9,6,0.010322036055527997
9,7,0.010353579557176444
9,8,0.01036829478001323
9,9,0.010373013369869743
9,10,0.01037173104071279
9,11,0.01038042638481949
9,12,0.010363172622818951
9,13,0.010358478599517546
9,14,0.01038381807847148
9,15,0.010362327692759762
9,16,0.010393351016840153
9,17,0.010390150081043967
9,18,0.01035850938845818
9,19,0.010357621571787795
9,20,0.010366028159228179
9,21,0.0103393039981377
9,22,0.010331639958422517
9,23,0.010285575415416364
9,24,0.010305204098998814
9,25,0.010312257118914769
9,26,0.010316572208563496
9,27,0.010312255942103768
9,28,0.010356462305984521
9,29,0.01034055534043566
9,30,0.010355055932434378
9,31,0.010349576081851497
9,32,0.0103607914276782
9,33,0.010356266890592727
9,34,0.010347660198852563
9,35,0.010343991362880908
9,36,0.010354864026435514
9,37,0.010371639941335976
9,38,0.010380319488349573
9,39,0.01039675362925292
9,40,0.010391163940078982
9,41,0.010383371979990714
9,42,0.010377696216065862
9,43,0.010376518900888523
9,44,0.010362429986967403
9,45,0.01036391688934546
9,46,0.010347976297057596
9,47,0.010365431134887486
9,48,0.010365535033665408
9,49,0.010391885026312383
9,50,0.010394491043394433
9,51,0.010394104258459541
9,52,0.010398863891613517
9,53,0.01040194538986088
9,54,0.01040246986402257
9,55,0.010402433593460216
9,56,0.010398335202292951
9,57,0.010442727841066212
9,58,0.010435972199232587
9,59,0.010437636517143842
9,60,0.010438232326787342
10,1,0.010318698479045992
10,2,0.010322286964549343
10,3,0.010342931689889477
10,4,0.01034479770385618
10,5,0.010335568052458135
10,6,0.010374170659685177
10,7,0.01038650810421449
10,8,0.010394370361411736
10,9,0.010394285029319977
10,10,0.010397221421438622
10,11,0.01040079644418777
10,12,0.010391236745105694
10,13,0.01041541505903511
10,14,0.010413991675004923
10,15,0.010422594892021403
10,16,0.010413706253338734
10,17,0.010391731494040173
10,18,0.010376446250268956
10,19,0.010387661777011782
10,20,0.010359101810216853
10,21,0.010353410257854754
10,22,0.010331925072186105
10,23,0.010303112835724978
10,24,0.010320284009960198
10,25,0.010322190846778897
10,26,0.010338808550823112
10,27,0.010343034431624517
10,28,0.010357486905437792
10,29,0.01036456297730302
10,30,0.010367203579020554
10,31,0.010382331166171554
10,32,0.010366562020385453
10,33,0.010367836625529717
10,34,0.01036706538779403
10,35,0.010372989695117563
10,36,0.010374366794773127
10,37,0.010392739951790244
10,38,0.010421925517406968
10,39,0.01040458663360537
10,40,0.010406252987369757
10,41,0.010393989552980983
10,42,0.010400289938059833
10,43,0.010394954644076436
10,44,0.010385561689186968
10,45,0.010378729466772986
10,46,0.010377390235088558
10,47,0.010387095536706713
10,48,0.010401090957238077
10,49,0.010409830099585165
10,50,0.010419133640349673
10,51,0.01041888828765118
10,52,0.010421275977653102
10,53,0.010424388215362965
10,54,0.010418462417606796
10,55,0.010417783351494684
10,56,0.01045965494426885
10,57,0.010462466380725828
10,58,0.010460030943189655
10,59,0.010454747565218823
10,60,0.010456082944191862
